word,translation,image
daina,song,room1.jpg
kede,chair,room1.jpg
langas,window,room1.jpg
nafta,oil,room1.jpg
pupa,bean,room1.jpg
sausainis,cookie,room1.jpg
tvartas,barn,room2.jpg
ziedas,ring,room2.jpg
augalas,plant,room2.jpg
duona,bread,room2.jpg
krautuve,store,room2.jpg
miestas,city,room2.jpg
palepstis,broom,room3.jpg
pyragas,cake,room3.jpg
sokis,dance,room3.jpg
upe,river,room3.jpg
akis,eye,room3.jpg
gele,flower,room3.jpg
kreida,chalk,room4.jpg
menulis,moon,room4.jpg
pastatas,building,room4.jpg
pinigine,wallet,room4.jpg
smegenys,brain,room4.jpg
urvas,cave,room4.jpg
arbata,tea,room5.jpg
durys,door,room5.jpg
kardas,sword,room5.jpg
mesa,meat,room5.jpg
palaidine,shirt,room5.jpg
raktas,key,room5.jpg
stalas,table,room6.jpg
vanduo,water,room6.jpg
adata,needle,room6.jpg
kablelis,hook,room6.jpg
kunigas,priest,room6.jpg
medis,tree,room6.jpg
pienas,milk,room7.jpg
rusys,basement,room7.jpg
sesuo,sister,room7.jpg
vaistas,drug,room7.jpg
auksas,gold,room7.jpg
kumpis,ham,room7.jpg
laidas,wire,room8.jpg
obuolys,apple,room8.jpg
riteris,knight,room8.jpg
sakute,fork,room8.jpg
tiltas,bridge,room8.jpg
zirkles,scissors,room8.jpg
batas,shoe,room9.jpg
karalius,king,room9.jpg
lova,bed,room9.jpg
mokykla,school,room9.jpg
purvas,dirt,room9.jpg
sketis,umbrella,room9.jpg
tinklas,net,room10.jpg
vinis,nail,room10.jpg
bulve,potato,room10.jpg
knyga,book,room10.jpg
ledas,ice,room10.jpg
mygtukas,button,room10.jpg
paukstis,bird,room1.jpg
salmas,helmet,room1.jpg
turgus,market,room2.jpg
vejas,wind,room2.jpg
burna,mouth,room3.jpg
kraujas,blood,room3.jpg
laiptelis,stair,room4.jpg
namas,house,room4.jpg
plyta,stone,room5.jpg
stogas,roof,room5.jpg
traukinys,train,room6.jpg
zole,grass,room6.jpg
bugnas,drum,room7.jpg
koja,leg,room7.jpg
lietus,rain,room8.jpg
puodelis,cup,room8.jpg
plaukas,hair,room9.jpg
smaragdas,emerald,room9.jpg
tvora,fence,room10.jpg
zuvis,fish,room10.jpg
